장소,발생건수
"아파트, 연립 다세대",29
단독주택,40
노상,24
상점,3
"숙박업소, 목욕탕",3
유흥 접객업소,8
사무실,6
"역, 대합실",1
교통수단,1
유원지 ,1
학교,0
금융기관,0
기타,27
"아파트, 연립 다세대",10
단독주택,16
노상,42
상점,27
"숙박업소, 목욕탕",10
유흥 접객업소,4
사무실,6
"역, 대합실",1
교통수단,1
유원지 ,0
학교,0
금융기관,2
기타,24
"아파트, 연립 다세대",441
단독주택,538
노상,978
상점,170
"숙박업소, 목욕탕",553
유흥 접객업소,851
사무실,114
"역, 대합실",280
교통수단,907
유원지 ,57
학교,60
금융기관,6
기타,1457
"아파트, 연립 다세대",1907
단독주택,2020
노상,9087
상점,6990
"숙박업소, 목욕탕",1249
유흥 접객업소,3231
사무실,721
"역, 대합실",531
교통수단,1097
유원지 ,613
학교,296
금융기관,1302
기타,10131
"아파트, 연립 다세대",5295
단독주택,5536
노상,22241
상점,1445
"숙박업소, 목욕탕",595
유흥 접객업소,5262
사무실,1507
"역, 대합실",642
교통수단,1088
유원지 ,481
학교,278
금융기관,65
기타,11640
